train_size,test_size,n_components,n_neighbors,metric,accuracy_knn,accuracy_sgd
5000,2000,30,3,euclidean,0.942,0.8525
5000,2000,30,5,euclidean,0.94,0.8525
5000,2000,30,3,manhattan,0.936,0.8525
5000,2000,30,5,manhattan,0.935,0.8525
5000,2000,50,3,euclidean,0.9395,0.885
5000,2000,50,5,euclidean,0.938,0.885
5000,2000,50,3,manhattan,0.941,0.885
5000,2000,50,5,manhattan,0.9365,0.885
5000,2000,100,3,euclidean,0.936,0.894
5000,2000,100,5,euclidean,0.936,0.894
5000,2000,100,3,manhattan,0.926,0.894
5000,2000,100,5,manhattan,0.918,0.894
5000,3000,30,3,euclidean,0.9383333333333334,0.8533333333333334
5000,3000,30,5,euclidean,0.937,0.8533333333333334
5000,3000,30,3,manhattan,0.934,0.8533333333333334
5000,3000,30,5,manhattan,0.9383333333333334,0.8533333333333334
5000,3000,50,3,euclidean,0.9416666666666667,0.8836666666666667
5000,3000,50,5,euclidean,0.9416666666666667,0.8836666666666667
5000,3000,50,3,manhattan,0.9343333333333333,0.8836666666666667
5000,3000,50,5,manhattan,0.936,0.8836666666666667
5000,3000,100,3,euclidean,0.936,0.876
5000,3000,100,5,euclidean,0.9376666666666666,0.876
5000,3000,100,3,manhattan,0.9203333333333333,0.876
5000,3000,100,5,manhattan,0.9176666666666666,0.876
7000,2000,30,3,euclidean,0.9515,0.863
7000,2000,30,5,euclidean,0.943,0.863
7000,2000,30,3,manhattan,0.944,0.863
7000,2000,30,5,manhattan,0.943,0.863
7000,2000,50,3,euclidean,0.9455,0.8875
7000,2000,50,5,euclidean,0.943,0.8875
7000,2000,50,3,manhattan,0.9455,0.8875
7000,2000,50,5,manhattan,0.9415,0.8875
7000,2000,100,3,euclidean,0.9435,0.9
7000,2000,100,5,euclidean,0.94,0.9
7000,2000,100,3,manhattan,0.9335,0.9
7000,2000,100,5,manhattan,0.9295,0.9
7000,3000,30,3,euclidean,0.9456666666666667,0.8533333333333334
7000,3000,30,5,euclidean,0.946,0.8533333333333334
7000,3000,30,3,manhattan,0.9433333333333334,0.8533333333333334
7000,3000,30,5,manhattan,0.9433333333333334,0.8533333333333334
7000,3000,50,3,euclidean,0.9453333333333334,0.8763333333333333
7000,3000,50,5,euclidean,0.9493333333333334,0.8763333333333333
7000,3000,50,3,manhattan,0.942,0.8763333333333333
7000,3000,50,5,manhattan,0.942,0.8763333333333333
7000,3000,100,3,euclidean,0.9416666666666667,0.8866666666666667
7000,3000,100,5,euclidean,0.944,0.8866666666666667
7000,3000,100,3,manhattan,0.9306666666666666,0.8866666666666667
7000,3000,100,5,manhattan,0.9313333333333333,0.8866666666666667
10000,2000,30,3,euclidean,0.9555,0.872
10000,2000,30,5,euclidean,0.955,0.872
10000,2000,30,3,manhattan,0.955,0.872
10000,2000,30,5,manhattan,0.95,0.872
10000,2000,50,3,euclidean,0.955,0.8855
10000,2000,50,5,euclidean,0.953,0.8855
10000,2000,50,3,manhattan,0.9485,0.8855
10000,2000,50,5,manhattan,0.948,0.8855
10000,2000,100,3,euclidean,0.9535,0.9015
10000,2000,100,5,euclidean,0.9515,0.9015
10000,2000,100,3,manhattan,0.943,0.9015
10000,2000,100,5,manhattan,0.942,0.9015
10000,3000,30,3,euclidean,0.9536666666666667,0.862
10000,3000,30,5,euclidean,0.9526666666666667,0.862
10000,3000,30,3,manhattan,0.9526666666666667,0.862
10000,3000,30,5,manhattan,0.9476666666666667,0.862
10000,3000,50,3,euclidean,0.9543333333333334,0.8786666666666667
10000,3000,50,5,euclidean,0.9503333333333334,0.8786666666666667
10000,3000,50,3,manhattan,0.9506666666666667,0.8786666666666667
10000,3000,50,5,manhattan,0.9466666666666667,0.8786666666666667
10000,3000,100,3,euclidean,0.9493333333333334,0.894
10000,3000,100,5,euclidean,0.9516666666666667,0.894
10000,3000,100,3,manhattan,0.9396666666666667,0.894
10000,3000,100,5,manhattan,0.9376666666666666,0.894
